Person_type,Colour,Height,Age,Gender,Head,Torso,Legs,Feet,Accessories,Blood,Armed,Banners,Type,x_min,y_min,x_max,y_max,Actions
Viewer,White,1.72,31,M,Face mask,Sweater,Jeans,Sneakers,None,No,No,None,Standing,200,67,249,198,Staring
Viewer,Native,1.68,24,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Standing,224,125,260,235,Staring
Delinquent ,Black,1.67,22,M,None,None,Shorts,Sneakers,None,No,No,None,Standing,231,101,274,213,Stealing
Law Officer,Black,1.68,36,F,Cap|face mask,Jacket,Pants,Sneakers,None,No,No,None,Standing,251,76,285,198,Running
Viewer,Native,1.70,19,F,None,Blouse,Pants,Sneakers,None,No,No,None,Standing,287,112,333,241,Staring
Viewer,Native,1.68,25,M,Cap|face mask,Shirt,Pants,Shoes,None,No,No,None,Standing,366,98,405,231,Staring
Victim,Native,1.65,46,F,Face mask,Coat,Pants,Sneakers,None,No,Gun,None,Moving,203,62,424,150,Idle
Delinquent ,Native,1.72,23,M,Helmet|face mask,Sweater,Jeans,Sneakers,None,No,No,None,Moving,235,56,266,150,Stealing
Delinquent ,Native,1.75,28,M,Helmet|face mask,Sweater,Jeans,Sneakers,None,No,No,None,Seated,316,81,377,172,Stealing
Law Officer,Native,1.76,29,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,149,1,216,256,Working
Law Officer,White,1.71,38,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,197,38,241,306,Working
Delinquent ,Native,1.73,19,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,246,25,325,275,Staring
Law Officer,White,1.80,32,M,Cap|face mask,Sweater,Pants,N.I,None,No,No,None,Moving,28,91,258,360,Staring
Delinquent ,Black,1.71,19,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,197,99,299,360,Idle
Delinquent ,Native,1.69,22,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,298,114,400,355,Idle
Law Officer,Native,1.77,27,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Moving,336,84,515,356,Idle
Delinquent ,White,1.74,30,M,Face mask,Coat|sweater,Pants,N.I,None,No,No,None,Moving,56,32,179,348,Idle
Delinquent ,Native,1.71,28,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,138,48,325,356,Idle
Delinquent ,Native,1.73,26,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,338,44,442,360,Idle
Law Officer,White,1.75,44,M,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,1,15,105,282,Staring
Law Officer,White,1.76,46,M,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,212,27,374,335,Staring
Law Officer,White,1.70,35,F,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,388,69,649,350,Staring
Law Officer,Native,1.69,52,M,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,472,94,540,327,Staring
Law Officer,White,1.81,38,M,Face mask,Jacket|shirt,Jeans,Shoes,None,No,Gun,None,Standing,97,13,172,187,Staring
Delinquent ,Native,N.I,N.I,M,None,Coat,Pants,Sneakers,None,No,No,None,Standing,107,165,201,265,Idle
Delinquent ,White,N.I,N.I,M,None,T-shirt,Pants,Sneakers,None,No,No,None,Standing,254,183,337,254,Idle
Law Officer,Native,1.73,31,F,Cap|glasses|face mask,Shirt,Pants,Boots,None,No,Gun,None,Standing,263,36,325,216,Staring
Viewer,Black,1.70,36,M,Cap|glasses|face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,219,20,250,123,Staring
Viewer,Black,1.67,36,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,243,25,272,117,Staring
Law Officer,Black,1.79,34,M,Helmet|face mask,Jacket,Pants,Boots,None,No,Gun,None,Crouched,297,74,371,271,Staring
Law Officer,Black,1.75,44,M,Face mask,Jacket,Pants,Boots,None,No,No,None,Standing,655,35,855,373,Staring
Law Officer,White,1.73,50,M,Face mask,Shirt,Jeans,Shoes,None,No,No,None,Moving,146,115,249,373,Staring
Law Officer,Native,1.73,33,M,Face mask,Jacket,Pants,Shoes,None,No,No,None,Moving,239,119,389,497,Staring
Law Officer,Black,1.70,29,M,Cap|face mask,Jacket,Jeans,Sneakers,None,No,No,None,Moving,624,117,780,492,Staring
Victim,Native,N.I,N.I,M,None,T-shirt,Pants,N.I,None,No,No,None,Dead,487,178,1016,510,Idle
Viewer,Black,1.70,45,M,Cap|face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,128,260,223,517,Idle
Viewer,White,1.66,26,M,Hat|face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,265,290,352,505,Idle
Viewer,Native,1.63,35,F,Face mask,Shirt,Jeans,N.I,None,No,No,None,Moving,794,300,852,465,Idle
Viewer,White,1.75,39,F,Face mask,Blouse,Pants,N.I,None,No,No,None,Moving,853,300,885,484,Idle
Viewer,Black,1.71,46,F,Face mask,Blouse,Pants,N.I,None,No,No,None,Moving,889,299,945,499,Idle
Viewer,Black,1.73,26,M,Face mask,Shirt,Pants,Sneakers,None,No,No,None,Moving,984,301,1013,500,Idle
Viewer,Black,1.60,29,M,Face mask,T-shirt,Pants,Shoes,None,No,No,None,Moving,1020,318,1106,527,Idle
Viewer,Native,1.66,27,M,Face mask,T-shirt,Pants,Shoes,None,No,No,None,Moving,1063,278,1127,484,Idle
Law Officer,N.I,1.73,34,M,Face mask,Protective suit,Protective pants,Boots,None,No,No,None,Moving,185,305,286,720,Staring
Law Officer,N.I,1.70,44,M,Face mask,Protective suit,Protective pants,Boots,None,No,No,None,Moving,306,331,458,649,Staring
Victim,N.I,N.I,N.I,M,None,T-shirt,Pants,None,None,No,No,None,Still,226,544,703,677,Idle
Law Officer,N.I,1.72,38,M,Face mask,Protective suit,Protective pants,Boots,None,No,No,None,Moving,603,335,781,690,Working
Law Officer,White,1.68,46,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Standing,1083,365,1248,677,Working
Law Officer,Native,1.69,33,M,Face mask,Jacket,Jeans,Shoes,None,No,No,None,Crouched,314,122,835,601,Working
Law Officer,Native,1.66,34,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Crouched,1093,25,1263,457,Working
Delinquent ,White,1.76,38,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,502,79,780,662,Idle
Viewer,Native,1.79,23,M,Face mask,Sweater,Shorts,N.I,None,No,No,None,Moving,78,147,181,566,Staring
Viewer,Native,1.73,22,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,183,188,279,556,Staring
Viewer,Native,1.69,25,F,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,415,197,493,560,Staring
Viewer,Native,1.68,24,F,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,457,196,574,570,Staring
Viewer,Native,1.74,19,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,807,153,922,573,Staring
Viewer,Native,1.71,22,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,898,151,1059,593,Staring
Viewer,Native,1.68,18,F,Face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,1022,180,1157,599,Staring
Delinquent ,Native,1.67,27,M,None,T-shirt,N.I,N.I,None,No,No,None,Still,491,57,901,632,Idle
Delinquent ,Native,1.69,26,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,22,43,372,720,Idle
Delinquent ,Native,1.74,28,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,405,35,837,709,Idle
Delinquent ,Native,1.64,27,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,878,80,1249,708,Idle
Law Officer,Native,1.68,48,M,Cap|face mask,Sweater,N.I,N.I,None,No,No,None,Standing,1,198,141,699,Working
Law Officer,White,1.73,53,M,Cap|face mask,Shirt,Pants,N.I,None,No,No,None,Standing,55,175,192,603,Working
Delinquent ,Native,1.64,23,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Standing,165,265,328,664,Idle
Delinquent ,Native,1.66,22,M,Cap|face mask,T-shirt,Jeans,N.I,None,No,No,None,Standing,400,217,522,720,Idle
Law Officer,Native,1.80,33,M,Cap|face mask,Jacket|sweater,Pants,N.I,None,No,No,None,Crouched,500,290,824,684,Idle
Delinquent ,Native,1.74,18,M,Face mask,Hoodie,Jeans,N.I,None,No,No,None,Standing,775,179,929,713,Idle
Law Officer,Black,1.73,42,M,Cap ,T-shirt,Pants,N.I,None,No,No,None,Standing,840,149,1135,720,Idle
Delinquent ,Black,1.76,38,M,None,T-shirt,Pants,N.I,None,No,No,None,Standing,1033,126,1265,717,Idle
Law Officer,White,1.73,33,M,Beret|face mask,Jacket|shirt,Pants,Boots,None,No,Gun,None,Moving,1,1,93,346,Working
Delinquent ,White,1.69,40,M,Face mask,T-shirt,Jeans,Shoes,None,No,No,None,Moving,47,1,160,350,Idle
Law Officer,Native,1.70,29,M,Beret|face mask,Jacket|shirt,Pants,Boots,None,No,Gun,None,Moving,87,41,175,342,Working
Victim,Native,1.73,23,M,None,Jacket,N.I,N.I,None,No,No,None,Dead,144,7,402,347,Staring
Viewer,White,1.69,22,F,Glasses|face mask,Blouse,Shorts,Sneakers,None,No,No,None,Still,215,23,281,291,Screaming
Delinquent ,N.I,1.72,29,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,Gun,None,Moving,148,61,208,300,Stealing
Delinquent ,N.I,1.72,33,M,None,Sweater,Pants,Sneakers,None,No,Gun,None,Moving,206,104,278,360,Stealing
Delinquent ,N.I,1.70,28,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,Gun,None,Moving,298,87,371,360,Shooting
Viewer,White,1.68,26,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Standing,97,65,148,230,Talking
Law Officer,White,1.70,37,M,Face mask,Jacket,Pants,Shoes,None,No,Gun,None,Moving,239,113,285,297,Working
Law Officer,Native,1.67,40,M,Face mask,Jacket,Pants,Shoes,None,No,Gun,None,Moving,281,76,335,252,Working
Viewer,Native,1.65,58,M,None,T-shirt,Jeans,N.I,None,No,No,None,Standing,120,105,200,298,Staring
Viewer,Native,1.67,46,M,None,T-shirt,Jeans,N.I,None,No,No,None,Standing,378,103,480,288,Staring
Viewer,White,1.63,61,F,Cap|glasses|face mask,Shirt,N.I,N.I,None,No,No,None,Standing,81,24,338,339,Staring
Viewer,Native,N.I,57,M,None,T-shirt,N.I,N.I,None,No,No,None,Seated,159,32,393,277,Talking
Delinquent ,N.I,1.70,N.I,M,Helmet,Coat,Pants,N.I,None,No,Gun,None,Moving,532,121,676,297,Stealing
Delinquent ,N.I,1.73,N.I,M,Helmet,Coat,Pants,N.I,None,No,Gun,None,Moving,762,157,884,377,Stealing
Victim,Native,1.61,51,F,Face mask,Sweater,Pants,N.I,None,No,No,None,Still,866,187,965,440,Idle
Law Officer,Native,1.67,32,M,Cap|face mask,Sweater,Pants,Boots,None,No,No,None,Moving,323,126,462,499,Working
Delinquent ,Black,1.76,29,F,Cap,Sweater,Jeans,Sneakers,None,No,No,None,Moving,470,134,566,493,Idle
Law Officer,Native,1.68,36,M,Cap|face mask,Sweater,Pants,Boots,None,No,No,None,Moving,536,161,697,496,Working
Viewer,White,1.75,23,M,Face mask,Sweater,Jeans,Sneakers,None,No,No,None,Moving,527,100,733,497,Idle
Viewer,Native,1.77,27,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,526,121,736,683,Idle
Viewer,Native,1.67,34,M,Cap,Sweater,Pants,Sneakers,None,No,No,None,Moving,533,228,824,669,Idle
Viewer,Native,1.77,27,M,Face shield|face mask,Sweater|backpack,Pants,N.I,None,No,No,None,Moving,520,139,819,720,Idle
Viewer,Native,1.64,27,F,Cap,Sweater,Joggers,Sneakers,None,No,No,None,Moving,441,130,658,720,Idle
Delinquent ,White,1.65,40,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Crouched,476,186,1097,697,Idle
Delinquent ,Native,1.65,36,M,None,Hoodie,N.I,N.I,None,No,No,None,Standing,529,108,844,608,Idle
Law Officer,Black,1.70,29,M,Beret|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,178,71,539,640,Working
Law Officer,Native,1.68,37,M,Cap|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,881,65,1187,654,Working
Law Officer,N.I,1.74,N.I,M,Helmet,Jacket,Pants,N.I,None,No,No,None,Standing,320,426,397,567,Working
Law Officer,N.I,1.71,N.I,F,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,371,480,435,599,Working
Law Officer,N.I,1.68,N.I,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,501,464,574,617,Working
Law Officer,N.I,1.67,N.I,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,574,473,641,588,Working
Law Officer,N.I,1.69,N.I,F,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,620,479,707,610,Working
Law Officer,N.I,1.74,N.I,M,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,622,343,728,510,Working
Law Officer,N.I,1.64,N.I,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Moving,629,152,701,315,Working
Delinquent ,Black,1.71,18,M,None,Hoodie,Shorts,Sneakers,None,No,No,None,Moving,685,162,737,345,Talking
Victim,Native,1.73,45,M,Cap|face mask,Jacket|shirt,Pants,Shoes,None,No,No,None,Still,261,123,349,453,Guarding
Viewer,White,1.66,18,F,Face mask,Jacket|blouse,Pants,Sneakers,None,No,No,None,Moving,441,71,474,170,Walking
Viewer,Native,1.59,63,F,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,385,121,474,352,Walking
Viewer,White,1.62,57,F,Face mask,Sweater,N.I,Sneakers,None,No,No,None,Moving,420,479,658,706,Walking
Delinquent ,Black,1.71,22,M,Face shield|face mask,Hoodie,Jeans,Sneakers,None,No,Gun,None,Moving,666,256,871,660,Shooting
Viewer,Native,1.68,24,F,Face shield|face mask,Sweater,Joggers,Sneakers,None,No,No,None,Moving,975,173,1046,399,Walking
Viewer,Native,1.67,30,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Moving,1054,162,1110,334,Walking
Viewer,Native,1.54,29,F,Face mask,Sweater,Joggers,Sneakers,None,No,No,None,Moving,1144,219,1188,360,Walking
Delinquent ,Native,1.73,21,M,Face shield|face mask,Jacket,Joggers,Sneakers,None,No,Gun,None,Moving,1175,266,1248,540,Shooting
Delinquent ,N.I,1.75,26,M,Helmet,Sweater,Pants,Sneakers,None,No,No,None,Seated,346,147,566,503,Driving
Delinquent ,White,1.70,23,M,Glasses|face mask,Jacket,Jeans,Sneakers,None,No,Gun,None,Seated,406,82,920,647,Shooting
Delinquent ,White,1.72,22,M,Face mask,T-shirt,N.I,N.I,Tattoos,No,No,None,Seated,446,30,842,709,Driving
Law Officer,Native,1.77,43,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Moving,136,110,502,720,Walking
Delinquent ,White,1.72,23,M,Face mask,Sweater,N.I,N.I,None,No,No,None,Moving,494,197,789,709,Walking
Law Officer,White,1.74,28,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Moving,727,147,915,700,Walking
Law Officer,White,1.67,34,F,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,975,261,1071,541,Walking
Law Officer,Native,1.69,39,M,Cap|face mask,Jacket,Pants,Boots,None,No,No,None,Standing,1068,212,1227,587,Walking
Viewer,Black,1.72,35,M,Face mask,T-shirt,Pants,Boots,None,No,No,None,Moving,152,109,219,229,Walking
Delinquent ,N.I,1.73,40,M,None,Coat,N.I,N.I,None,No,No,None,Moving,208,121,236,175,Stealing
Delinquent ,N.I,1.75,29,M,None,Coat,N.I,N.I,None,No,No,None,Seated,247,120,291,172,Driving
Delinquent ,N.I,1.68,37,M,Helmet,Sweater|backpack,Jeans,Sneakers,None,No,No,None,Seated,269,125,306,171,Driving
Delinquent ,N.I,1.70,33,M,Helmet,Sweater|backpack,Pants,Sneakers,None,No,No,None,Moving,341,118,362,173,Stealing
Viewer,White,1.80,46,M,Face mask,Shirt,Pants,Shoes,None,No,No,None,Still,408,110,484,189,Talking
Viewer,Native,1.57,23,F,Face mask,Blouse,Jeans,N.I,None,No,No,None,Moving,270,153,370,332,Idle
Viewer,White,1.73,32,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Standing,251,85,401,341,Walking
Viewer,Native,1.64,46,F,Face mask,Blouse,Jeans,N.I,None,No,No,None,Moving,423,153,492,341,Walking
Viewer,White,1.69,51,M,Face shield|face mask,Shirt,Jeans,N.I,None,No,No,None,Moving,432,135,517,307,Walking
Viewer,Black,1.67,29,F,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,532,131,583,294,Walking
Viewer,Native,1.66,39,F,Face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,549,146,625,360,Walking
Viewer,Native,1.62,35,F,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,576,127,629,292,Walking
Law Officer,Native,1.75,29,M,Cap|face mask,Sweater,Pants,N.I,None,No,Gun,None,Standing,11,86,110,320,Working
Law Officer,White,1.77,44,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,129,85,242,349,Working
Law Officer,White,1.70,28,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Standing,186,88,260,294,Working
Law Officer,Native,1.71,35,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,258,99,356,336,Working
Law Officer,White,1.74,41,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Standing,321,91,434,310,Working
Law Officer,White,1.68,38,F,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,440,119,540,293,Working
Law Officer,Black,1.77,54,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,517,74,625,309,Working
Delinquent ,Black,1.70,18,M,None,Coat,Pants,Shoes,None,No,No,None,Moving,171,169,294,304,Screaming
Victim,White,1.72,32,F,None,Sweater,Joggers,Sneakers,None,No,No,None,Standing,257,81,324,188,Stealing
Delinquent ,N.I,1.73,N.I,M,None,Jacket,Pants,Sneakers,None,No,No,None,Crouched,143,124,216,285,Fighting
Victim,N.I,1.75,N.I,M,None,Sweater,Pants,Sneakers,None,No,No,None,Crouched,210,142,291,267,Fighting
Delinquent ,N.I,1.70,N.I,M,None,Jacket,Pants,Sneakers,None,No,No,None,Standing,257,133,356,262,Fighting
Viewer,N.I,1.72,N.I,M,Helmet,Jacket,Pants,Sneakers,None,No,No,None,Moving,422,10,484,112,Running
Victim,Native,1.65,31,M,None,T-shirt,Pants,Shoes,None,No,No,None,Still,96,120,135,284,Idle
Victim,White,1.72,40,M,None,T-shirt,Pants,Shoes,None,No,No,None,Still,132,97,226,280,Idle
Victim,Native,1.70,52,M,None,T-shirt,Pants,Shoes,None,No,No,None,Still,292,154,369,336,Idle
Victim,Native,1.67,16,F,None,Sweater,Skirt,Sneakers,None,No,No,None,Still,373,192,426,359,Idle
Delinquent ,Black,1.75,22,M,Cap,Sweater,Joggers,Sneakers,None,No,Gun,None,Moving,404,199,479,357,Stealing
Victim,Black,1.63,15,F,None,Sweater,Skirt,Shoes,None,No,No,None,Seated,442,217,520,352,Idle
Aggressor,Black,1.67,28,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,262,44,322,299,Fighting
Victim,Black,1.68,31,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,289,42,389,279,Fighting
Delinquent ,N.I,1.76,33,M,None,T-shirt,Jeans,N.I,None,No,No,None,Standing,95,146,188,350,Idle
Victim,N.I,1.74,27,M,None,Coat|backpack,Joggers,N.I,None,No,No,None,Standing,124,138,276,319,Stealing
Delinquent ,Black,1.70,23,M,None,Coat|backpack,Joggers,Sneakers,None,No,Gun,None,Moving,202,157,295,283,Stealing
Delinquent ,Black,1.68,25,M,None,Coat|backpack,Jeans,Sneakers,None,No,Gun,None,Moving,451,171,507,285,Stealing
Delinquent ,Black,1.72,29,M,None,Sweater,Joggers,Sneakers,None,No,Gun,None,Moving,301,32,403,159,Stealing
Viewer,Native,1.64,63,F,None,Blouse,Pants,Shoes,None,No,No,None,Standing,53,136,124,285,Idle
Viewer,White,1.72,19,M,Face mask,T-shirt|backpack,Pants,Sneakers,None,No,No,None,Moving,433,111,502,264,Idle
Delinquent ,White,1.70,41,M,Cap,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,409,138,487,347,Stealing
Victim,Native,1.67,29,F,None,Blouse,Jeans,Shoes,None,No,No,None,Standing,475,138,535,356,Idle
Aggressor,Black,1.70,33,M,Beanie ,Sweater,Shorts,Sneakers,None,No,No,None,Standing,249,77,358,266,Fighting
Aggressor,White,1.70,31,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,331,77,439,289,Fighting
Delinquent ,N.I,1.78,27,M,Beanie,Sweater,Joggers,Sneakers,None,No,No,None,Standing,210,46,285,230,Fighting
Delinquent ,N.I,1.74,24,M,None,T-shirt,Joggers,Sneakers,None,No,No,None,Standing,248,42,337,195,Fighting
Victim,N.I,1.75,32,M,Cap,T-shirt,Joggers,Sneakers,None,No,No,None,Standing,298,81,402,258,Fighting
Victim,White,1.72,27,F,None,Blouse,Skirt,Sneakers,Tattoos,No,No,None,Standing,474,35,806,682,Idle
Viewer,White,1.76,29,M,Glasses,Sweater,N.I,N.I,None,No,No,None,Standing,272,57,658,638,Idle
Victim,White,1.72,27,F,None,Blouse,N.I,N.I,Tattoos,No,No,None,Standing,555,95,1006,674,Idle
Law Officer,Native,1.79,43,M,None,Shirt,Pants,N.I,None,No,Gun,None,Crouched,323,284,620,679,Carrying
Law Officer,Black,1.77,34,M,Cap,T-shirt,Pants,N.I,None,No,No,None,Crouched,583,270,867,590,Carrying
Law Officer,Native,1.73,39,M,None,Jacket,Pants,N.I,None,No,No,None,Crouched,33,122,228,617,Carrying
Law Officer,Native,1.67,33,M,None,Jacket,Pants,N.I,None,No,Gun,None,Crouched,111,73,379,605,Carrying
Law Officer,Native,1.70,31,M,None,Jacket,Pants,N.I,None,No,No,None,Standing,383,158,718,658,Carrying
Law Officer,Black,1.71,29,M,Cap,Jacket,Pants,Shoes,None,No,Gun,None,Standing,616,132,848,647,Carrying
Law Officer,Black,1.68,36,M,None,Shirt,Pants,Shoes,None,No,Gun,None,Standing,707,113,1148,653,Carrying
Law Officer,Native,1.72,29,M,Cap,Shirt,Pants,N.I,None,No,Gun,None,Standing,1019,157,1258,575,Carrying
Law Officer,White,1.75,43,M,None,Jacket,Pants,N.I,None,No,Gun,None,Standing,510,83,875,644,Carrying
Law Officer,White,1.70,27,M,Beret,Jacket,Pants,N.I,None,No,Gun,None,Standing,727,21,1175,658,Carrying
Law Officer,Native,1.69,26,M,Cap,T-shirt,Jeans,N.I,None,No,Gun,None,Standing,10,147,178,544,Carrying
Law Officer,White,1.77,33,M,None,T-shirt,Jeans,N.I,None,No,Gun,None,Standing,115,177,731,380,Carrying
Law Officer,Native,1.73,34,M,Cap,Shirt,Pants,N.I,None,No,No,None,Standing,605,15,876,208,Working
Law Officer,White,1.78,36,M,None,Shirt,Pants,N.I,None,No,No,None,Standing,26,351,188,621,Working
Viewer,Black,1.73,34,M,Glasses ,T-shirt,N.I,N.I,None,No,No,None,Moving,211,193,380,547,Walking
Viewer,Black,1.71,41,M,None,T-shirt,N.I,N.I,None,No,No,None,Moving,266,239,553,669,Walking
Viewer,Black,1.70,18,M,Cap,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,684,248,887,521,Idle
Viewer,Black,1.68,21,M,Cap,T-shirt,Shorts,Sneakers,None,No,No,None,Crawling,689,477,950,587,Idle
Viewer,Native,1.65,18,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,257,279,435,640,Idle
Law Officer,Native,1.68,34,M,Cap,T-shirt,Pants,N.I,None,No,No,None,Crouched,835,260,965,496,Working
Law Officer,White,1.71,45,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,816,434,1120,496,Working
Law Officer,Black,1.72,40,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,749,488,1161,574,Working
Law Officer,Black,1.68,39,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,211,191,353,380,Working
Viewer,Black,1.70,24,M,Cap,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,510,169,831,321,Idle
Law Officer,White,1.71,37,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Moving,398,113,568,243,Working
Law Officer,Black,1.73,35,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Moving,679,58,801,256,Working
Viewer,White,1.65,24,M,Cap,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,816,149,1037,528,Idle
Viewer,Native,1.68,28,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Crawling,103,135,322,530,Idle
Viewer,Native,1.70,23,F,None,Bikini,Bikini,None,None,No,No,None,Standing,329,396,663,513,Idle
Viewer,White,1.64,25,F,None,Blouse,Shorts,Sneakers,None,No,No,None,Crawling,596,366,907,466,Idle
Viewer,White,1.68,27,F,None,Blouse,Shorts,Sneakers,None,No,No,None,Crawling,528,432,893,523,Idle
Law Officer,Black,1.71,31,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,370,200,557,562,Working
Law Officer,Native,1.73,27,M,None,T-shirt,Pants,Sneakers,None,No,No,None,Standing,205,126,374,336,Working
Law Officer,Native,1.71,32,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,178,152,1187,664,Working
Viewer,Native,1.65,18,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,245,86,442,469,Idle
Viewer,Native,1.67,18,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Crawling,340,25,511,374,Idle
Viewer,Native,1.62,22,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,480,54,746,488,Idle
Law Officer,N.I,1.70,33,M,Helmet,Jacket,Pants,Boots,None,No,Gun,None,Moving,561,17,758,584,Talking
Law Officer,N.I,1.68,41,M,Cap,T-shirt,Shorts,N.I,None,No,No,None,Moving,733,30,950,575,Talking
Viewer,White,N.I,26,F,Glasses,Blouse,Skirt,N.I,None,No,No,None,Crawling,952,57,1202,682,Walking
Victim,White,1.73,40,M,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,206,64,334,261,Idle
Delinquent ,Black,1.78,34,M,Cap|face mask,Coat,Joggers,Sneakers,None,No,Gun,None,Moving,345,19,410,191,Stealing
Viewer,White,1.66,19,F,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,416,50,465,172,Running
Delinquent ,Native,1.72,29,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,Gun,None,Standing,298,46,334,133,Stealing
Victim,White,1.70,46,M,Face mask,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,370,121,440,251,Idle
Viewer,Native,1.69,22,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,No,None,Standing,436,99,494,196,Driving
Viewer,White,1.70,54,M,None,Coat|shirt,N.I,N.I,None,No,No,None,Standing,140,37,346,217,Driving
Delinquent ,Black,1.83,31,M,Helmet,T-shirt,Pants,Sneakers,None,No,No,None,Moving,84,82,114,171,Stealing
Delinquent ,Black,1.75,37,M,Helmet,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,94,77,155,188,Stealing
Delinquent ,Native,1.68,18,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Moving,177,146,239,288,Fighting
Delinquent ,Native,1.70,19,M,Cap,Sports T-shirt,Pants,Sneakers,None,No,No,None,Moving,330,156,377,255,Fighting
